Date,Price
1991-12-16,0.47
1991-12-17,0.46
1991-12-18,0.47
1991-12-19,0.45
1991-12-20,0.47
1991-12-23,0.46
1991-12-24,0.5
1991-12-26,0.57
1991-12-27,0.55
1991-12-30,0.56
1991-12-31,0.64
1992-01-02,0.72
1992-01-03,0.72
1992-01-06,0.68
1992-01-07,0.66
1992-01-08,0.58
1992-01-09,0.64
1992-01-10,0.62
1992-01-13,0.67
1992-01-14,0.68
1992-01-15,0.69
1992-01-16,0.67
1992-01-17,0.65
1992-01-20,0.65
1992-01-21,0.62
1992-01-22,0.65
1992-01-23,0.61
1992-01-24,0.61
1992-01-27,0.6
1992-01-28,0.58
1992-01-29,0.6
1992-01-30,0.61
1992-01-31,0.62
1992-02-03,0.64
1992-02-04,0.65
1992-02-05,0.64
1992-02-06,0.63
1992-02-07,0.61
1992-02-10,0.58
1992-02-11,0.59
1992-02-12,0.62
1992-02-13,0.59
1992-02-14,0.6
1992-02-18,0.59
1992-02-19,0.57
1992-02-20,0.6
1992-02-21,0.54
1992-02-24,0.51
1992-02-25,0.52
1992-02-26,0.54
1992-02-27,0.52
1992-02-28,0.53
1992-03-02,0.53
1992-03-03,0.51
1992-03-04,0.5
1992-03-05,0.49
1992-03-06,0.48
1992-03-09,0.48
1992-03-10,0.51
1992-03-11,0.48
1992-03-12,0.5
1992-03-13,0.5
1992-03-16,0.48
1992-03-17,0.49
1992-03-18,0.53
1992-03-19,0.56
1992-03-20,0.58
1992-03-23,0.56
1992-03-24,0.56
1992-03-25,0.57
1992-03-26,0.58
1992-03-27,0.56
1992-03-30,0.56
1992-03-31,0.6
1992-04-01,0.57
1992-04-02,0.54
1992-04-03,0.54
1992-04-06,0.55
1992-04-07,0.55
1992-04-08,0.55
1992-04-09,0.54
1992-04-10,0.56
1992-04-13,0.57
1992-04-14,0.58
1992-04-15,0.6
1992-04-16,0.59
1992-04-20,0.6
1992-04-21,0.6
1992-04-22,0.62
1992-04-23,0.6
1992-04-24,0.59
1992-04-27,0.58
1992-04-28,0.55
1992-04-29,0.56
1992-04-30,0.54
1992-05-01,0.55
1992-05-04,0.55
1992-05-05,0.56
1992-05-06,0.56
1992-05-07,0.55
1992-05-08,0.55
1992-05-11,0.55
1992-05-12,0.52
1992-05-13,0.5
1992-05-14,0.5
1992-05-15,0.49
1992-05-18,0.48
1992-05-19,0.48
1992-05-20,0.46
1992-05-21,0.47
1992-05-22,0.47
1992-05-26,0.49
1992-05-27,0.47
1992-05-28,0.47
1992-05-29,0.48
1992-06-01,0.49
1992-06-02,0.48
1992-06-03,0.5
1992-06-04,0.52
1992-06-05,0.52
1992-06-08,0.49
1992-06-09,0.47
1992-06-10,0.46
1992-06-11,0.49
1992-06-12,0.53
1992-06-15,0.53
1992-06-16,0.5
1992-06-17,0.47
1992-06-18,0.46
1992-06-19,0.47
1992-06-22,0.46
1992-06-23,0.47
1992-06-24,0.46
1992-06-25,0.47
1992-06-26,0.47
1992-06-29,0.49
1992-06-30,0.5
1992-07-01,0.5
1992-07-02,0.5
1992-07-06,0.49
1992-07-07,0.49
1992-07-08,0.5
1992-07-09,0.49
1992-07-10,0.49
1992-07-13,0.49
1992-07-14,0.5
1992-07-15,0.46
1992-07-16,0.46
1992-07-17,0.46
1992-07-20,0.45
1992-07-21,0.41
1992-07-22,0.39
1992-07-23,0.42
1992-07-24,0.4
1992-07-27,0.41
1992-07-28,0.45
1992-07-29,0.45
1992-07-30,0.45
1992-07-31,0.46
1992-08-03,0.46
1992-08-04,0.45
1992-08-05,0.43
1992-08-06,0.4
1992-08-07,0.42
1992-08-10,0.41
1992-08-11,0.41
1992-08-12,0.42
1992-08-13,0.42
1992-08-14,0.42
1992-08-17,0.41
1992-08-18,0.41
1992-08-19,0.4
1992-08-20,0.4
1992-08-21,0.4
1992-08-24,0.39
1992-08-25,0.4
1992-08-26,0.39
1992-08-27,0.4
1992-08-28,0.41
1992-08-31,0.4
1992-09-01,0.4
1992-09-02,0.42
1992-09-03,0.42
1992-09-04,0.41
1992-09-08,0.4
1992-09-09,0.4
1992-09-10,0.39
1992-09-11,0.38
1992-09-14,0.38
1992-09-15,0.36
1992-09-16,0.35
1992-09-17,0.36
1992-09-18,0.37
1992-09-21,0.35
1992-09-22,0.34
1992-09-23,0.34
1992-09-24,0.37
1992-09-25,0.36
1992-09-28,0.36
1992-09-29,0.36
1992-09-30,0.47
1992-10-01,0.45
1992-10-02,0.44
1992-10-05,0.45
1992-10-06,0.5
1992-10-07,0.52
1992-10-08,0.53
1992-10-09,0.51
1992-10-12,0.53
1992-10-13,0.52
1992-10-14,0.51
1992-10-15,0.53
1992-10-16,0.61
1992-10-19,0.59
1992-10-20,0.61
1992-10-21,0.64
1992-10-22,0.65
1992-10-23,0.64
1992-10-26,0.65
1992-10-27,0.59
1992-10-28,0.63
1992-10-29,0.63
1992-10-30,0.63
1992-11-02,0.63
1992-11-03,0.64
1992-11-04,0.65
1992-11-05,0.69
1992-11-06,0.65
1992-11-09,0.66
1992-11-10,0.69
1992-11-11,0.7
1992-11-12,0.69
1992-11-13,0.69
1992-11-16,0.69
1992-11-17,0.69
1992-11-18,0.73
1992-11-19,0.73
1992-11-20,0.73
1992-11-23,0.74
1992-11-24,0.72
1992-11-25,0.72
1992-11-27,0.74
1992-11-30,0.74
1992-12-01,0.72
1992-12-02,0.72
1992-12-03,0.69
1992-12-04,0.66
1992-12-07,0.68
1992-12-08,0.66
1992-12-09,0.65
1992-12-10,0.64
1992-12-11,0.65
1992-12-14,0.65
1992-12-15,0.66
1992-12-16,0.65
1992-12-17,0.62
1992-12-18,0.62
1992-12-21,0.64
1992-12-22,0.7
1992-12-23,0.71
1992-12-24,0.7
1992-12-28,0.71
1992-12-29,0.69
1992-12-30,0.65
1992-12-31,0.63
1993-01-04,0.63
1993-01-05,0.65
1993-01-06,0.67
1993-01-07,0.6
1993-01-08,0.65
1993-01-11,0.66
1993-01-12,0.65
1993-01-13,0.75
1993-01-14,0.82
1993-01-15,0.87
1993-01-18,0.87
1993-01-19,0.86
1993-01-20,0.84
1993-01-21,0.81
1993-01-22,0.76
1993-01-25,0.82
1993-01-26,0.83
1993-01-27,0.82
1993-01-28,0.81
1993-01-29,0.76
1993-02-01,0.78
1993-02-02,0.81
1993-02-03,0.84
1993-02-04,0.91
1993-02-05,0.87
1993-02-08,0.94
1993-02-09,0.91
1993-02-10,0.86
1993-02-11,0.85
1993-02-12,0.86
1993-02-16,0.78
1993-02-17,0.78
1993-02-18,0.8
1993-02-19,0.82
1993-02-22,0.84
1993-02-23,0.83
1993-02-24,0.82
1993-02-25,0.82
1993-02-26,0.82
1993-03-01,0.82
1993-03-02,0.84
1993-03-03,0.93
1993-03-04,0.98
1993-03-05,0.95
1993-03-08,0.98
1993-03-09,1.05
1993-03-10,1.07
1993-03-11,1.01
1993-03-12,1.01
1993-03-15,1.05
1993-03-16,1.02
1993-03-17,1.04
1993-03-18,1.13
1993-03-19,1.12
1993-03-22,1.19
1993-03-23,1.15
1993-03-24,1.14
1993-03-25,1.13
1993-03-26,1.18
1993-03-29,1.22
1993-03-30,1.25
1993-03-31,1.27
1993-04-01,1.33
1993-04-02,1.25
1993-04-05,1.29
1993-04-06,1.26
1993-04-07,1.19
1993-04-08,1.26
1993-04-12,1.22
1993-04-13,1.2
1993-04-14,1.19
1993-04-15,1.13
1993-04-16,1.08
1993-04-19,1.06
1993-04-20,1.1
1993-04-21,1.15
1993-04-22,1.19
1993-04-23,1.14
1993-04-26,1.09
1993-04-27,1.09
1993-04-28,1.16
1993-04-29,1.15
1993-04-30,1.18
1993-05-03,1.16
1993-05-04,1.11
1993-05-05,1.12
1993-05-06,1.12
1993-05-07,1.15
1993-05-10,1.17
1993-05-11,1.23
1993-05-12,1.23
1993-05-13,1.2
1993-05-14,1.11
1993-05-17,1.15
1993-05-18,1.16
1993-05-19,1.2
1993-05-20,1.16
1993-05-21,1.15
1993-05-24,1.17
1993-05-25,1.18
1993-05-26,1.22
1993-05-27,1.18
1993-05-28,1.17
1993-06-01,1.13
1993-06-02,1.18
1993-06-03,1.22
1993-06-04,1.23
1993-06-07,1.21
1993-06-08,1.2
1993-06-09,1.22
1993-06-10,1.23
1993-06-11,1.31
1993-06-14,1.43
1993-06-15,1.48
1993-06-16,1.37
1993-06-17,1.43
1993-06-18,1.39
1993-06-21,1.33
1993-06-22,1.37
1993-06-23,1.37
1993-06-24,1.44
1993-06-25,1.43
1993-06-28,1.46
1993-06-29,1.45
1993-06-30,1.5
1993-07-01,1.55
1993-07-02,1.53
1993-07-06,1.53
1993-07-07,1.51
1993-07-08,1.56
1993-07-09,1.57
1993-07-12,1.55
1993-07-13,1.55
1993-07-14,1.54
1993-07-15,1.55
1993-07-16,1.55
1993-07-19,1.64
1993-07-20,1.68
1993-07-21,1.67
1993-07-22,1.7
1993-07-23,1.8
1993-07-26,1.75
1993-07-27,1.75
1993-07-28,1.71
1993-07-29,1.77
1993-07-30,1.74
1993-08-02,1.7
1993-08-03,1.71
1993-08-04,1.75
1993-08-05,1.75
1993-08-06,1.84
1993-08-09,1.81
1993-08-10,1.88
1993-08-11,1.95
1993-08-12,1.93
1993-08-13,1.96
1993-08-16,2.01
1993-08-17,1.95
1993-08-18,1.99
1993-08-19,2.03
1993-08-20,2.01
1993-08-23,2.02
1993-08-24,2.1
1993-08-25,2.08
1993-08-26,2.08
1993-08-27,2.03
1993-08-30,1.95
1993-08-31,2.02
1993-09-01,2.01
1993-09-02,2.06
1993-09-03,2.06
1993-09-07,1.99
1993-09-08,1.86
1993-09-09,1.93
1993-09-10,1.97
1993-09-13,1.91
1993-09-14,1.84
1993-09-15,1.9
1993-09-16,1.91
1993-09-17,1.97
1993-09-20,2.02
1993-09-21,1.97
1993-09-22,2.04
1993-09-23,2.08
1993-09-24,2.13
1993-09-27,2.1
1993-09-28,2.17
1993-09-29,2.22
1993-09-30,2.14
1993-10-01,2.08
1993-10-04,2.14
1993-10-05,2.04
1993-10-06,2.01
1993-10-07,2.05
1993-10-08,2.05
1993-10-11,2.1
1993-10-12,2.15
1993-10-13,2.17
1993-10-14,2.21
1993-10-15,2.21
1993-10-18,2.23
1993-10-19,2.12
1993-10-20,2.09
1993-10-21,2.04
1993-10-22,2.02
1993-10-25,1.91
1993-10-26,1.89
1993-10-27,2.01
1993-10-28,1.98
1993-10-29,1.98
1993-11-01,2.06
1993-11-02,2.04
1993-11-03,1.91
1993-11-04,1.81
1993-11-05,1.81
1993-11-08,1.88
1993-11-09,1.94
1993-11-10,1.97
1993-11-11,1.93
1993-11-12,1.9
1993-11-15,1.81
1993-11-16,1.71
1993-11-17,1.62
1993-11-18,1.43
1993-11-19,1.4
1993-11-22,1.45
1993-11-23,1.49
1993-11-24,1.51
1993-11-26,1.45
1993-11-29,1.33
1993-11-30,1.37
1993-12-01,1.47
1993-12-02,1.51
1993-12-03,1.53
1993-12-06,1.51
1993-12-07,1.46
1993-12-08,1.43
1993-12-09,1.37
1993-12-10,1.37
1993-12-13,1.41
1993-12-14,1.38
1993-12-15,1.42
1993-12-16,1.41
1993-12-17,1.45
1993-12-20,1.5
1993-12-21,1.47
1993-12-22,1.46
1993-12-23,1.46
1993-12-27,1.41
1993-12-28,1.36
1993-12-29,1.4
1993-12-30,1.4
1993-12-31,1.37
1994-01-03,1.38
1994-01-04,1.4
1994-01-05,1.36
1994-01-06,1.37
1994-01-07,1.33
1994-01-10,1.23
1994-01-11,1.26
1994-01-12,1.25
1994-01-13,1.36
1994-01-14,1.4
1994-01-17,1.32
1994-01-18,1.27
1994-01-19,1.26
1994-01-20,1.27
1994-01-21,1.25
1994-01-24,1.24
1994-01-25,1.26
1994-01-26,1.29
1994-01-27,1.29
1994-01-28,1.28
1994-01-31,1.3
1994-02-01,1.28
1994-02-02,1.29
1994-02-03,1.25
1994-02-04,1.18
1994-02-07,1.2
1994-02-08,1.22
1994-02-09,1.2
1994-02-10,1.18
1994-02-11,1.2
1994-02-14,1.2
1994-02-15,1.16
1994-02-16,1.14
1994-02-17,1.09
1994-02-18,1.1
1994-02-22,1.07
1994-02-23,1.1
1994-02-24,1.08
1994-02-25,1.1
1994-02-28,1.16
1994-03-01,1.31
1994-03-02,1.41
1994-03-03,1.36
1994-03-04,1.33
1994-03-07,1.31
1994-03-08,1.29
1994-03-09,1.27
1994-03-10,1.29
1994-03-11,1.32
1994-03-14,1.38
1994-03-15,1.42
1994-03-16,1.49
1994-03-17,1.45
1994-03-18,1.48
1994-03-21,1.43
1994-03-22,1.4
1994-03-23,1.36
1994-03-24,1.38
1994-03-25,1.35
1994-03-28,1.27
1994-03-29,1.2
1994-03-30,1.23
1994-03-31,1.27
1994-04-04,1.21
1994-04-05,1.2
1994-04-06,1.2
1994-04-07,1.2
1994-04-08,1.18
1994-04-11,1.14
1994-04-12,1.13
1994-04-13,1.06
1994-04-14,1.07
1994-04-15,1.18
1994-04-18,1.14
1994-04-19,1.08
1994-04-20,1.06
1994-04-21,1.04
1994-04-22,1.09
1994-04-25,1.13
1994-04-26,1.15
1994-04-28,1.1
1994-04-29,1.1
1994-05-02,1.1
1994-05-03,1.1
1994-05-04,1.07
1994-05-05,1.09
1994-05-06,1.06
1994-05-09,1.02
1994-05-10,1.0
